Abounding_with.Depictive,Locative_relation.Direction,Locative_relation.Distance
Idiosyncrasy.Entity,Relation.Entity2
Idiosyncrasy.Idiosyncrasy,Relation.Entity1
Immobilization.Agent,Intentionally_affect.Agent
Immobilization.Degree,Intentionally_affect.Degree
Immobilization.Instrument,Intentionally_affect.Instrument
Immobilization.Manner,Intentionally_affect.Manner
Immobilization.Means,Intentionally_affect.Means
Immobilization.Patient,Intentionally_affect.Patient
Immobilization.Place,Intentionally_affect.Place
Immobilization.Purpose,Intentionally_affect.Purpose
Immobilization.Time,Intentionally_affect.Time
Impact.Force,Cause_impact.Force
Impact.Impactee,Cause_impact.Impactee
Impact.Impactor,Cause_impact.Impactor
Impact.Impactors,Cause_impact.Impactors
Impact.Manner,Cause_impact.Manner
Impact.Place,Cause_impact.Place
Impact.Result,Cause_impact.Result
Impact.Speed,Cause_impact.Speed
Impact.Subregion,Cause_impact.Subregion
Impact.Time,Cause_impact.Time
Imposing_obligation.Manner,Transitive_action.Manner
Imposing_obligation.Means,Transitive_action.Means
Imposing_obligation.Obligator,Transitive_action.Agent
Imposing_obligation.Place,Transitive_action.Place
Imposing_obligation.Responsible_party,Transitive_action.Patient
Imposing_obligation.Situation,Transitive_action.Cause
Imposing_obligation.Time,Transitive_action.Time
Imprisonment.Authorities,Inhibit_movement.Agent
Imprisonment.Duration,Inhibit_movement.Duration
Imprisonment.Manner,Inhibit_movement.Manner
Imprisonment.Means,Inhibit_movement.Means
Imprisonment.Offense,Inhibit_movement.Motivation
Imprisonment.Place,Inhibit_movement.Place
Imprisonment.Prison,Inhibit_movement.Holding_location
Imprisonment.Prisoner,Inhibit_movement.Theme
Imprisonment.Purpose,Inhibit_movement.Purpose
Imprisonment.Reason,Inhibit_movement.Reason
Imprisonment.Time,Inhibit_movement.Time
Inclination.Degree,Gradable_attributes.Degree
Inclination.Entity,Gradable_attributes.Entity
Indicating.Communicator,Mention.Communicator
Indicating.Depictive,Mention.Depictive
Indicating.Duration,Mention.Duration
Indicating.Manner,Mention.Manner
Indicating.Means,Mention.Means
Indicating.Medium,Mention.Medium
Indicating.Time,Mention.Time
Indicating.Unresolved_referent,Mention.Message
Indigenous_origin.Entity,Origin.Entity
Indigenous_origin.Origin,Origin.Origin
Ineffability.Circumstances,Stimulus_focus.Circumstances
Ineffability.Comparison_set,Stimulus_focus.Comparison_set
Ineffability.Degree,Stimulus_focus.Degree
Ineffability.Experiencer,Stimulus_focus.Experiencer
Ineffability.Parameter,Stimulus_focus.Parameter
Ineffability.Property,Stimulus_focus.Property
Ineffability.Stimulus,Stimulus_focus.Stimulus
Infrastructure.Activity,Artifact.Use
Infrastructure.Infrastructure,Artifact.Artifact
Ingestion.Duration,Ingest_substance.Duration,Manipulation.Duration
Ingestion.Ingestibles,Ingest_substance.Substance,Manipulation.Entity
Ingestion.Ingestor,Ingest_substance.Ingestor,Manipulation.Agent
Ingestion.Instrument,Ingest_substance.Delivery_device,Manipulation.Bodypart_of_agent,Manipulation.Instrument
Ingestion.Manner,Ingest_substance.Manner,Manipulation.Manner
Ingestion.Means,Ingest_substance.Means,Manipulation.Means
Ingestion.Place,Ingest_substance.Place,Manipulation.Place
Ingestion.Purpose,Ingest_substance.Purpose,Manipulation.Purpose
Ingestion.Time,Ingest_substance.Time,Manipulation.Time
Ingest_substance.Ingestor,Intentionally_act.Agent
Ingest_substance.Manner,Intentionally_act.Manner
Ingest_substance.Means,Intentionally_act.Means
Ingest_substance.Place,Intentionally_act.Place
Ingest_substance.Purpose,Intentionally_act.Purpose
Ingest_substance.Time,Intentionally_act.Time
Inhibit_movement.Agent,Intentionally_affect.Agent
Inhibit_movement.Instrument,Intentionally_affect.Instrument
Inhibit_movement.Manner,Intentionally_affect.Manner
Inhibit_movement.Means,Intentionally_affect.Means
Inhibit_movement.Place,Intentionally_affect.Place
Inhibit_movement.Purpose,Intentionally_affect.Purpose
Inhibit_movement.Reason,Intentionally_affect.Reason
Inhibit_movement.Theme,Intentionally_affect.Patient
Inhibit_movement.Time,Intentionally_affect.Time
In.Landmark,Containment_relation_IS.Landmark
In.Profiled_region,Containment_relation_IS.Profiled_region
Inspecting.Degree,Scrutinizing_for.Degree
Inspecting.Ground,Scrutinizing_for.Ground
Inspecting.Inspector,Scrutinizing_for.Cognizer
Inspecting.Instrument,Scrutinizing_for.Instrument
Inspecting.Manner,Scrutinizing_for.Manner
Inspecting.Means,Scrutinizing_for.Means
Inspecting.Purpose,Scrutinizing_for.Purpose
Inspecting.Unwanted_entity,Scrutinizing_for.Phenomenon
Institutions.Institution,Organization.Organization
Institutions.Members,Organization.Members
Institutions.Purpose,Organization.Purpose
Intentionally_act.Act,Event.Event
Intentionally_act.Frequency,Event.Frequency
Intentionally_act.Manner,Event.Manner
Intentionally_act.Place,Event.Place
Intentionally_act.Time,Event.Time
Intentionally_affect.Agent,Intentionally_act.Agent,Transitive_action.Agent
Intentionally_affect.Event,Intentionally_act.Act,Transitive_action.Event
Intentionally_affect.Manner,Intentionally_act.Manner,Transitive_action.Manner
Intentionally_affect.Means,Intentionally_act.Means,Transitive_action.Means
Intentionally_affect.Patient,Transitive_action.Patient
Intentionally_affect.Place,Intentionally_act.Place,Transitive_action.Place
Intentionally_affect.Purpose,Intentionally_act.Purpose
Intentionally_affect.Time,Intentionally_act.Time,Transitive_action.Time
Intentionally_create.Components,Creating.Components
Intentionally_create.Created_entity,Creating.Created_entity
Intentionally_create.Creator,Creating.Creator,Intentionally_act.Agent
Intentionally_create.Depictive,Creating.Depictive
Intentionally_create.Manner,Creating.Manner,Intentionally_act.Manner
Intentionally_create.Means,Creating.Means,Intentionally_act.Means
Intentionally_create.Place,Creating.Place,Intentionally_act.Place
Intentionally_create.Purpose,Intentionally_act.Purpose
Intentionally_create.Time,Creating.Time,Intentionally_act.Time
Intentional_traversing.Circumstances,Traversing.Circumstances
Intentional_traversing.Consecutive,Traversing.Consecutive
Intentional_traversing.Containing_event,Traversing.Containing_event
Intentional_traversing.Cotheme,Self_motion.Cotheme,Traversing.Cotheme
Intentional_traversing.Depictive,Self_motion.Depictive,Traversing.Depictive
Intentional_traversing.Direction,Self_motion.Direction,Traversing.Direction
Intentional_traversing.Distance,Self_motion.Distance,Traversing.Distance
Intentional_traversing.Duration,Self_motion.Duration,Traversing.Duration
Intentional_traversing.Endpoints,Traversing.Endpoints
Intentional_traversing.Explanation,Self_motion.Reason,Traversing.Explanation
Intentional_traversing.Frequency,Traversing.Frequency
Intentional_traversing.Goal,Self_motion.Goal,Traversing.Goal
Intentional_traversing.Manner,Self_motion.Manner,Traversing.Manner
Intentional_traversing.Means,Self_motion.Means,Traversing.Means
Intentional_traversing.Path,Self_motion.Path,Traversing.Path
Intentional_traversing.Path_shape,Self_motion.Path_shape,Traversing.Path_shape
Intentional_traversing.Place,Self_motion.Place,Traversing.Area,Traversing.Place
Intentional_traversing.Purpose,Self_motion.Purpose,Traversing.Purpose
Intentional_traversing.Re_encoding,Traversing.Re_encoding
Intentional_traversing.Self_mover,Self_motion.Self_mover,Traversing.Theme
Intentional_traversing.Source,Self_motion.Source,Traversing.Source
Intentional_traversing.Speed,Self_motion.Speed,Traversing.Speed
Intentional_traversing.Time,Self_motion.Time,Traversing.Time
Intentional_traversing.Vehicle,Traversing.Vehicle
Intercepting.Interceptor,Intentionally_act.Agent
Intercepting.Manner,Intentionally_act.Manner
Intercepting.Means,Intentionally_act.Means
Intercepting.Place,Intentionally_act.Place
Intercepting.Purpose,Intentionally_act.Purpose
Intercepting.Time,Intentionally_act.Time
Interrupt_process.Actor,Transitive_action.Agent
Interrupt_process.Cause,Transitive_action.Cause
Interrupt_process.Manner,Transitive_action.Manner
Interrupt_process.Means,Transitive_action.Means
Interrupt_process.Place,Transitive_action.Place
Interrupt_process.Process,Transitive_action.Patient
Interrupt_process.Time,Transitive_action.Time
Into.Landmark,Containment_relation_IS.Landmark
Into.Profiled_region,Containment_relation_IS.Profiled_region
Into.Trajector,Containment_relation_IS.Trajector
Intoxication.Cognizer,Gradable_attributes.Entity
Intoxication.Degree,Gradable_attributes.Degree
Intoxication.Time,Gradable_attributes.Time
In.Trajector,Containment_relation_IS.Trajector
Invading.Circumstances,Attack.Circumstances
Invading.Containing_event,Attack.Containing_event
Invading.Depictive,Attack.Depictive
Invading.Event_description,Attack.Event_description
Invading.Explanation,Attack.Explanation
Invading.Invader,Attack.Assailant,Invasion_scenario.Invader
Invading.Iteration,Attack.Iteration
Invading.Land,Attack.Victim,Invasion_scenario.Attacked
Invading.Manner,Attack.Manner,Invasion_scenario.Manner
Invading.Means,Attack.Means,Invasion_scenario.Means
Invading.Particular_iteration,Attack.Particular
Invading.Path,Attack.Path
Invading.Place,Attack.Place,Invasion_scenario.Place
Invading.Purpose,Attack.Purpose,Invasion_scenario.Purpose
Invading.Reason,Attack.Reason
Invading.Re_encoding,Attack.Re_encoding
Invading.Result,Attack.Result
Invading.Source,Attack.Source
Invading.Time,Attack.Time,Invasion_scenario.Time
Invading.Weapon,Attack.Weapon,Invasion_scenario.Instrument
Judgment_direct_address.Addressee,Judgment_communication.Addressee,Judgment_communication.Evaluee
Judgment_direct_address.Communicator,Judgment_communication.Communicator
Judgment_direct_address.Degree,Judgment_communication.Degree
Judgment_direct_address.Depictive,Judgment_communication.Depictive
Judgment_direct_address.Expressor,Judgment_communication.Expressor
Judgment_direct_address.Grounds,Judgment_communication.Grounds
Judgment_direct_address.Manner,Judgment_communication.Manner
Judgment_direct_address.Means,Judgment_communication.Means
Judgment_direct_address.Medium,Judgment_communication.Medium
Judgment_direct_address.Place,Judgment_communication.Place
Judgment_direct_address.Reason,Judgment_communication.Reason
Judgment_direct_address.Role,Judgment_communication.Role
Judgment_direct_address.Time,Judgment_communication.Time
Judgment_direct_address.Topic,Judgment_communication.Topic
Judicial_body.Domain,Institutions.Domain
Judicial_body.Judges,Institutions.Members
Judicial_body.Judicial_body,Institutions.Institution
Judicial_body.Place,Institutions.Place
Judicial_body.Task,Institutions.Purpose
Jury_deliberation.Case,Trial.Case
Jury_deliberation.Charges,Trial.Charges
Jury_deliberation.Jury,Trial.Jury
Jury_deliberation.Place,Trial.Place
Jury_deliberation.Time,Trial.Time
Just_found_out.Circumstances,Emotions_by_stimulus.Circumstances
Just_found_out.Degree,Emotions_by_stimulus.Degree
Just_found_out.Empathy_target,Emotions_by_stimulus.Empathy_target
Just_found_out.Experiencer,Emotions_by_stimulus.Experiencer
Just_found_out.Expressor,Emotions_by_stimulus.Expressor
Just_found_out.Manner,Emotions_by_stimulus.Manner
Just_found_out.Parameter,Emotions_by_stimulus.Parameter
Just_found_out.Reason,Emotions_by_stimulus.Reason
Just_found_out.State,Emotions_by_stimulus.State
Just_found_out.Stimulus,Emotions_by_stimulus.Stimulus
Just_found_out.Time,Emotions_by_stimulus.Time
Just_found_out.Topic,Emotions_by_stimulus.Topic
Kidnapping.Event,Committing_crime.Crime
Kidnapping.Frequency,Committing_crime.Frequency
Kidnapping.Manner,Committing_crime.Manner,Getting.Manner
Kidnapping.Means,Committing_crime.Means,Getting.Means
Kidnapping.Perpetrator,Committing_crime.Perpetrator,Getting.Recipient
Kidnapping.Place,Committing_crime.Place,Getting.Place
Kidnapping.Purpose,Committing_crime.Purpose,Getting.Purpose
Kidnapping.Reason,Committing_crime.Reason,Getting.Reason
Kidnapping.Source,Getting.Source
Kidnapping.Time,Committing_crime.Time,Getting.Time
Kidnapping.Victim,Getting.Theme
Killing.Cause,Transitive_action.Cause
Killing.Depictive,Transitive_action.Depictive
Killing.Killer,Transitive_action.Agent
Killing.Manner,Transitive_action.Manner
Killing.Means,Transitive_action.Means
Killing.Place,Transitive_action.Place
Killing.Result,Transitive_action.Result
Killing.Time,Transitive_action.Time
Killing.Victim,Transitive_action.Patient
Knot_creation.Agent,Intentionally_create.Creator
Knot_creation.Depictive,Intentionally_create.Depictive
Knot_creation.Instrument,Intentionally_create.Instrument
Knot_creation.Knot,Intentionally_create.Created_entity
Knot_creation.Manner,Intentionally_create.Manner
Knot_creation.Means,Intentionally_create.Means
Knot_creation.Place,Intentionally_create.Place
Knot_creation.Purpose,Intentionally_create.Purpose
Knot_creation.Time,Intentionally_create.Time
Labeling.Entity,Referring_by_name.Entity
Labeling.Label,Referring_by_name.Name
Labeling.Speaker,Referring_by_name.Speaker
Labeling.Time,Referring_by_name.Time
Law.Creator,Artifact.Creator
Law.Law,Artifact.Artifact
Law.Name,Artifact.Name
Law.Part,Artifact.Material
Law.Time_of_creation,Artifact.Time_of_creation
Law.Type,Artifact.Type
Law.Use,Artifact.Use
Likelihood.Circumstances,Gradable_attributes.Circumstances
Likelihood.Degree,Gradable_attributes.Degree
Likelihood.Hypothetical_event,Gradable_attributes.Entity
Likelihood.Time,Gradable_attributes.Time
Lively_place.Activity,Abounding_with.Theme
Lively_place.Circumstances,Gradable_attributes.Circumstances
Lively_place.Degree,Abounding_with.Degree,Gradable_attributes.Degree
Lively_place.Location,Abounding_with.Location,Gradable_attributes.Entity
Lively_place.Place,Gradable_attributes.Place
Lively_place.Time,Abounding_with.Time,Gradable_attributes.Time
Locale_by_event.Constituent_parts,Locale.Constituent_parts
Locale_by_event.Defining_event,Locale.Related_event
Locale_by_event.Descriptor,Locale.Descriptor
Locale_by_event.Locale,Locale.Locale
Locale_by_event.Relative_location,Locale.Relative_location
Locale_by_ownership.Constituent_parts,Locale.Constituent_parts
Locale_by_ownership.Container_possessor,Locale.Container_possessor
Locale_by_ownership.Descriptor,Locale.Descriptor
Locale_by_ownership.Locale,Locale.Locale
Locale_by_ownership.Name,Locale.Name
Locale_by_ownership.Relative_location,Locale.Relative_location
Locale_by_ownership.Use,Locale.Use
Locale_by_use.Constituent_parts,Locale.Constituent_parts
Locale_by_use.Container_possessor,Locale.Container_possessor
Locale_by_use.Descriptor,Locale.Descriptor
Locale_by_use.Formational_cause,Locale.Formational_cause
Locale_by_use.Locale,Locale.Locale
Locale_by_use.Name,Locale.Name
Locale_by_use.Relative_location,Locale.Relative_location
Locale_by_use.Use,Locale.Use
Location_of_light.Degree,Measurable_attributes.Degree
Location_of_light.Figure,Measurable_attributes.Entity
Location_of_light.Time,Measurable_attributes.Time
Locative_relation.Figure,Relation.Entity1,State.Entity,Trajector-Landmark.Trajector
Locative_relation.Figures,Relation.Entities
Locative_relation.Ground,Relation.Entity2,Trajector-Landmark.Landmark
Lose_possession.Donor,Lose_possession_scenario.Donor
Lose_possession.Place,Eventive_affecting.Place
Lose_possession.Reason,Eventive_affecting.Reason
Lose_possession.Theme,Eventive_affecting.Entity,Lose_possession_scenario.Theme
Lose_possession.Time,Eventive_affecting.Time
Luck.Degree,Gradable_attributes.Degree
Luck.State_of_affairs,Gradable_attributes.Entity
Luck.Time,Gradable_attributes.Time
Make_acquaintance.Individual_1,Reciprocality.Protagonist_1
Make_acquaintance.Individual_2,Reciprocality.Protagonist_2
Make_acquaintance.Individuals,Reciprocality.Protagonists
Manipulate_into_doing.Degree,Intentionally_affect.Degree
Manipulate_into_doing.Instrument,Intentionally_affect.Instrument
Manipulate_into_doing.Manipulator,Intentionally_affect.Agent
Manipulate_into_doing.Manner,Intentionally_affect.Manner
Manipulate_into_doing.Means,Intentionally_affect.Means
Manipulate_into_doing.Place,Intentionally_affect.Place
Manipulate_into_doing.Purpose,Intentionally_affect.Purpose
Manipulate_into_doing.Time,Intentionally_affect.Time
Manipulate_into_doing.Victim,Intentionally_affect.Patient
Manipulate_into_shape.Agent,Intentionally_affect.Agent
Manipulate_into_shape.Instrument,Intentionally_affect.Instrument
Manipulate_into_shape.Manner,Intentionally_affect.Manner
Manipulate_into_shape.Means,Intentionally_affect.Means
Manipulate_into_shape.Place,Intentionally_affect.Place
Manipulate_into_shape.Purpose,Intentionally_affect.Purpose
Manipulate_into_shape.Reason,Intentionally_affect.Reason
Manipulate_into_shape.Theme,Intentionally_affect.Patient
Manipulate_into_shape.Time,Intentionally_affect.Time
Manipulation.Agent,Intentionally_affect.Agent
Manipulation.Entity,Intentionally_affect.Patient
Manipulation.Instrument,Intentionally_affect.Instrument
Manipulation.Manner,Intentionally_affect.Manner
Manipulation.Means,Intentionally_affect.Means
Manipulation.Place,Intentionally_affect.Place
Manipulation.Purpose,Intentionally_affect.Purpose
Manipulation.Reason,Intentionally_affect.Reason
Manipulation.Time,Intentionally_affect.Time
Manufacturing.Depictive,Intentionally_create.Depictive
Manufacturing.Instrument,Intentionally_create.Instrument
Manufacturing.Manner,Intentionally_create.Manner
Manufacturing.Manufacturer,Intentionally_create.Creator
Manufacturing.Means,Intentionally_create.Means
Manufacturing.Place,Intentionally_create.Place
Manufacturing.Product,Intentionally_create.Created_entity
Manufacturing.Purpose,Intentionally_create.Purpose
Manufacturing.Resource,Intentionally_create.Components
Manufacturing.Time,Intentionally_create.Time
Mass_motion.Area,Motion.Area
Mass_motion.Degree,Motion.Degree
Mass_motion.Direction,Motion.Direction
Mass_motion.Distance,Motion.Distance
Mass_motion.Duration,Motion.Duration
Mass_motion.Goal,Motion.Goal
Mass_motion.Manner,Motion.Manner
Mass_motion.Mass_theme,Motion.Theme
Mass_motion.Mode_of_transportation,Motion.Carrier
Mass_motion.Path,Motion.Path
Mass_motion.Place,Motion.Place
Mass_motion.Purpose,Motion.Purpose
Mass_motion.Source,Motion.Source
Mass_motion.Speed,Motion.Speed
Mass_motion.Time,Motion.Time
Measurable_attributes.Attribute,Attributes.Attribute,Gradable_attributes.Attribute
Measurable_attributes.Circumstances,Gradable_attributes.Circumstances
Measurable_attributes.Degree,Gradable_attributes.Degree
Measurable_attributes.Entity,Attributes.Entity,Gradable_attributes.Entity
Measurable_attributes.Time,Gradable_attributes.Time
Measurable_attributes.Value,Attributes.Value,Gradable_attributes.Value
Measure_area.Area,Measures.Entity
Measure_area.Count,Measures.Count
Measure_area.Unit,Measures.Unit
Measure_by_action.Count,Measures.Count
Measure_by_action.Entity,Measures.Entity
Measure_by_action.Event,Measures.Unit
Measure_duration.Count,Measures.Count
Measure_duration.Process,Measures.Entity
Measure_duration.Unit,Measures.Unit
Measure_linear_extent.Count,Measures.Count
Measure_linear_extent.Stuff,Measures.Entity
Measure_linear_extent.Unit,Measures.Unit
Measure_mass.Count,Measures.Count
Measure_mass.Stuff,Measures.Entity
Measure_mass.Unit,Measures.Unit
Measure_volume.Count,Measures.Count
Measure_volume.Stuff,Measures.Entity
Measure_volume.Unit,Measures.Unit
Medical_conditions.Degree,Gradable_attributes.Degree
Medical_conditions.Patient,Gradable_attributes.Entity
Medical_professionals.Age,People_by_vocation.Age
Medical_professionals.Compensation,People_by_vocation.Compensation
Medical_professionals.Contract_basis,People_by_vocation.Contract_basis
Medical_professionals.Employer,People_by_vocation.Employer
Medical_professionals.Ethnicity,People_by_vocation.Ethnicity
Medical_professionals.Origin,People_by_vocation.Origin
Medical_professionals.Place_of_employment,People_by_vocation.Place_of_employment
Medical_professionals.Professional,People_by_vocation.Person
Medical_professionals.Rank,People_by_vocation.Rank
Medical_professionals.Type,People_by_vocation.Type
Meet_specifications.Agent,Satisfying.Agent
Meet_specifications.Entity,Satisfying.Entity
Meet_specifications.Event,Satisfying.Event
Meet_specifications.Manner,Satisfying.Manner
Meet_specifications.Means,Satisfying.Means
Meet_specifications.Standard,Satisfying.Standard
Meet_specifications.Time,Satisfying.Time
Membership.Group,Be_subset_of.Total
Membership.Manner,Be_subset_of.Manner
Membership.Member,Be_subset_of.Part
Membership.Place,Be_subset_of.Place
Membership.Time,Be_subset_of.Time
Memorization.Cognizer,Cogitation.Cognizer
Memorization.Manner,Cogitation.Manner
Memorization.Means,Cogitation.Means
Memorization.Pattern,Cogitation.Topic
Mental_property.Behavior,Social_behavior_evaluation.Behavior
Mental_property.Degree,Social_behavior_evaluation.Degree
Mental_property.Judge,Social_behavior_evaluation.Judge
Mental_property.Protagonist,Social_behavior_evaluation.Individual
Mental_stimulus_exp_focus.Circumstances,Experiencer_focus.Circumstances
Mental_stimulus_exp_focus.Degree,Experiencer_focus.Degree
Mental_stimulus_exp_focus.Experiencer,Experiencer_focus.Experiencer
Mental_stimulus_exp_focus.Expressor,Experiencer_focus.Expressor
Mental_stimulus_exp_focus.Manner,Experiencer_focus.Manner
Mental_stimulus_exp_focus.Parameter,Experiencer_focus.Parameter
Mental_stimulus_exp_focus.Reason,Experiencer_focus.Reason
Mental_stimulus_exp_focus.State,Experiencer_focus.State
Mental_stimulus_exp_focus.Stimulus,Experiencer_focus.Content
Mental_stimulus_exp_focus.Time,Experiencer_focus.Time
Mental_stimulus_exp_focus.Topic,Experiencer_focus.Topic
Military.Force,Organization.Organization
Military.Goal,Organization.Purpose
Military.Members,Organization.Members
Military.Period_of_existence,Organization.Period_of_existence
Misdeed.Manner,Event.Manner
Misdeed.Misdeed,Event.Event
Misdeed.Place,Event.Place
Misdeed.Time,Event.Time
Money.Creator,Artifact.Creator
Money.Material,Artifact.Material
Money.Money,Artifact.Artifact
Money.Name,Artifact.Name
Money.Time_of_creation,Artifact.Time_of_creation
Money.Type,Artifact.Type
Money.Use,Artifact.Use
Morality_evaluation.Behavior,Social_behavior_evaluation.Behavior
Morality_evaluation.Degree,Social_behavior_evaluation.Degree
Morality_evaluation.Evaluee,Social_behavior_evaluation.Individual
Morality_evaluation.Judge,Social_behavior_evaluation.Judge
Motion_directional.Area,Motion.Area
Motion_directional.Carrier,Motion.Carrier
Motion_directional.Degree,Motion.Degree
Motion_directional.Depictive,Motion.Depictive
Motion_directional.Direction,Motion.Direction
Motion_directional.Distance,Motion.Distance
Motion_directional.Duration,Motion.Duration
Motion_directional.Goal,Motion.Goal
Motion_directional.Manner,Motion.Manner
Motion_directional.Path,Motion.Path
Motion_directional.Place,Motion.Place
Motion_directional.Result,Motion.Result
Motion_directional.Source,Motion.Source
Motion_directional.Speed,Motion.Speed
Motion_directional.Theme,Motion.Theme
Motion_directional.Time,Motion.Time
Motion_noise.Area,Motion.Area
Motion_noise.Degree,Motion.Degree
Motion_noise.Depictive,Motion.Depictive
Motion_noise.Distance,Motion.Distance
Motion_noise.Duration,Motion.Duration
Motion_noise.Goal,Motion.Goal
Motion_noise.Manner,Motion.Manner
Motion_noise.Path,Motion.Direction,Motion.Path
Motion_noise.Place,Motion.Place
Motion_noise.Result,Motion.Result
Motion_noise.Source,Motion.Source
Motion_noise.Speed,Motion.Speed
Motion_noise.Theme,Motion.Theme
Motion_noise.Time,Motion.Time
Name_conferral.Manner,Intentionally_act.Manner
Name_conferral.Means,Intentionally_act.Means
Name_conferral.Place,Intentionally_act.Place
Name_conferral.Purpose,Intentionally_act.Purpose
Name_conferral.Speaker,Intentionally_act.Agent
Name_conferral.Time,Intentionally_act.Time
Natural_features.Constituent_parts,Locale.Constituent_parts
Natural_features.Container_possessor,Locale.Container_possessor
Natural_features.Descriptor,Locale.Descriptor
Natural_features.Formational_cause,Locale.Formational_cause
Natural_features.Locale,Locale.Locale
Natural_features.Name,Locale.Name
Natural_features.Relative_location,Locale.Relative_location
Noise_makers.Creator,Artifact.Creator
Noise_makers.Material,Artifact.Material
Noise_makers.Name,Artifact.Name
Noise_makers.Noise_maker,Artifact.Artifact
Noise_makers.Time_of_creation,Artifact.Time_of_creation
Noise_makers.Type,Artifact.Type
Noise_makers.Use,Artifact.Use
Notification_of_charges.Accused,Arraignment.Defendant
Notification_of_charges.Charges,Arraignment.Charges
Notification_of_charges.Place,Arraignment.Place
Notification_of_charges.Time,Arraignment.Time
Nuclear_process.Cause,Undergo_change.Cause
Nuclear_process.Circumstances,Undergo_change.Circumstances
Nuclear_process.Degree,Undergo_change.Degree
Nuclear_process.Element,Undergo_change.Entity
Nuclear_process.Final_element,Undergo_change.Final_category
Nuclear_process.Frequency,Undergo_change.Frequency
Nuclear_process.Initial_element,Undergo_change.Initial_category
Nuclear_process.Manner,Undergo_change.Manner
Nuclear_process.Period_of_iterations,Undergo_change.Period_of_iterations
Nuclear_process.Time,Undergo_change.Time
Obligation_scenario.Condition,Required_event.Circumstances
Obligation_scenario.Consequence,Required_event.Negative_consequences
Obligation_scenario.Degree,Required_event.Degree
Obligation_scenario.Duty,Required_event.Required_situation
Obligation_scenario.Place,Required_event.Place
Obligation_scenario.Purpose,Required_event.Purpose
Obligation_scenario.Time,Required_event.Time
Obscurity.Circumstances,Gradable_attributes.Circumstances
Obscurity.Degree,Gradable_attributes.Degree
Obscurity.Entity,Gradable_attributes.Entity
Obscurity.Time,Gradable_attributes.Time
Observable_body_parts.Body_part,Shaped_part.Part
Observable_body_parts.Descriptor,Shaped_part.Part_Prop
Observable_body_parts.Orientational_Location,Shaped_part.Orientation
Observable_body_parts.Possessor,Shaped_part.Whole
Obviousness.Attribute,Gradable_attributes.Attribute
Obviousness.Circumstances,Gradable_attributes.Circumstances
Obviousness.Degree,Gradable_attributes.Degree
Obviousness.Phenomenon,Gradable_attributes.Entity
Obviousness.Time,Gradable_attributes.Time
Omen.Phenomenon_1,Sign.Indicator
Omen.Phenomenon_2,Sign.Indicated
Omen.Strength,Sign.Degree
Operate_vehicle.Driver,Operating_a_system.Operator
Operate_vehicle.Duration,Operating_a_system.Duration
Operate_vehicle.Manner,Operating_a_system.Manner
Operate_vehicle.Means,Operating_a_system.Means
Operate_vehicle.Place,Operating_a_system.Place
Operate_vehicle.Purpose,Operating_a_system.Purpose
Operate_vehicle.Time,Operating_a_system.Time
Operate_vehicle.Vehicle,Operating_a_system.System
Operating_a_system.Manner,Using.Manner
Operating_a_system.Means,Using.Means
Operating_a_system.Operator,Using.Agent
Operating_a_system.Place,Using.Place
Operating_a_system.Purpose,Using.Purpose
Operating_a_system.System,Using.Instrument
Operating_a_system.Time,Using.Time
Organization.Members,Aggregate.Individuals
Organization.Organization,Aggregate.Aggregate
Others_situation_as_stimulus.Circumstances,Emotions_by_stimulus.Circumstances
Others_situation_as_stimulus.Degree,Emotions_by_stimulus.Degree
Others_situation_as_stimulus.Experiencer,Emotions_by_stimulus.Experiencer
Others_situation_as_stimulus.Manner,Emotions_by_stimulus.Manner
Others_situation_as_stimulus.Other,Emotions_by_stimulus.Stimulus
Others_situation_as_stimulus.Parameter,Emotions_by_stimulus.Parameter
Others_situation_as_stimulus.Reason,Emotions_by_stimulus.Reason
Others_situation_as_stimulus.Situation,Emotions_by_stimulus.Topic
Others_situation_as_stimulus.Time,Emotions_by_stimulus.Time
Out_of_existence.Entity,Cycle_of_existence_scenario.Entity
Pardon.Authority,Clemency.Executive_authority
Pardon.Manner,Clemency.Manner
Pardon.Means,Clemency.Means
Pardon.Offender,Clemency.Offender
Pardon.Offense,Clemency.Crime
Pardon.Place,Clemency.Place
Pardon.Purpose,Clemency.Purpose
Pardon.Reason,Clemency.Reason
Pardon.Time,Clemency.Time
Part_edge.Orientation,Part_whole.Orientation
Part_edge.Part,Part_whole.Part
Part_edge.Part_prop,Part_whole.Part_Prop
Part_edge.Whole,Part_whole.Whole
Partiality.Decision_maker,Social_interaction_evaluation.Evaluee
Partiality.Degree,Social_interaction_evaluation.Degree
Partiality.Dispute,Social_interaction_evaluation.Topic
Partiality.Expressor,Social_interaction_evaluation.Expressor
Partiality.Judge,Social_interaction_evaluation.Judge
Partiality.Manifestation_of_bias,Social_interaction_evaluation.Behavior
Partiality.Manner,Social_interaction_evaluation.Manner
Partiality.Sides,Social_interaction_evaluation.Affected_party
Part_inner_outer.Part,Part_whole.Part
Part_inner_outer.Part_Prop,Part_whole.Part_Prop
Part_inner_outer.Whole,Part_whole.Whole
Partitive.Group,Relation.Entity2
Partitive.Subset,Relation.Entity1
Part_ordered_segments.Part,Part_whole.Part
Part_ordered_segments.Part_prop,Part_whole.Part_Prop
Part_ordered_segments.Whole,Part_whole.Whole
Part_orientational.Part,Part_whole.Part
